"English","Normalized","Georgian","Status","CandidateCount"
"Sh. Nadirashvili st.","sh nadirashvili","","unmatched","0"
"shakriani st.","shakriani","შაქრიანის ქუჩა","exact","1"
"Shalva Apkhaidze III lane","shalva apkhaidze iii","შალვა აფხაიძის ქუჩა","unique-contained-name","1"
"Shalva Gogidze St.","shalva gogidze","შალვა გოგიძის ქუჩა","exact","1"
"shandor petef st.","shandor petef","","unmatched","0"
"shanidze st.","shanidze","შანიძის ქუჩა","exact","1"
"shanshaishvili st.","shanshaishvili","","unmatched","0"
"Sharadze st.","sharadze","მაქსიმე შარაძის ქუჩა","unique-contained-name","1"
"sharashidze st.","sharashidze","","ambiguous","3"
"shardeni st.","shardeni","","unmatched","0"
"shartava st.","shartava","","ambiguous","3"
"Sharvadze St.","sharvadze","ავთანდილ შარვაძის ქუჩა","unique-contained-name","1"
"shatili st.","shatili","","ambiguous","2"
"shatilov st.","shatilov","","unmatched","0"
"shavgulidze st.","shavgulidze","","unmatched","0"
"shavishvili st.","shavishvili","მიხეილ შავიშვილის ქუჩა","unique-contained-name","1"
"shavnabada st.","shavnabada","","ambiguous","2"
"shavsopeli st.","shavsopeli","შავსოფელის ქუჩა","exact","1"
"shavteli st.","shavteli","შავთელის ქუჩა","exact","1"
"shengelia st.","shengelia","შენგელიას ქუჩა","exact","1"
"shervashidze st","shervashidze","","ambiguous","3"
"sheshelidze st.","sheshelidze","თენგიზ შეშელიძის ქუჩა","unique-contained-name","1"
"shevardenidze st.","shevardenidze","კახა შევარდენიძის ქუჩა","unique-contained-name","1"
"shevchenko st.","shevchenko","შევჩენკოს ქუჩა","exact","1"
"shilda st.","shilda","","ambiguous","2"
"shindisi st.","shindisi","","ambiguous","2"
"shio mgvimeli st.","shio mgvimeli","შიო-მღვიმელის ქუჩა","exact","1"
"shiraqi st.","shiraqi","","unmatched","0"
"Shkhepi St.","shkhepi","შხეფის ქუჩა","exact","1"
"Shorapani st.","shorapani","შორაპანის ქუჩა","exact","1"
"shorapni II st.","shorapni ii","","unmatched","0"
"Shoshitaishvili st.","shoshitaishvili","","unmatched","0"
"Shota Rustaveli st.","shota rustaveli","","ambiguous","8"
"Shotadze st.","shotadze","სვიმეონ შოთაძის ქუჩა","unique-contained-name","1"
"shrosha st.","shrosha","შროშის ქუჩა","exact","1"
"Shuamta st.","shuamta","შუამთის ქუჩა","exact","1"
"shusha st.","shusha","შუშას ქუჩა","exact","1"
"Sidamon-Eristavi St.","sidamon eristavi","","ambiguous","2"
"sighnagi st.","sighnagi","","unmatched","0"
"sikharulidze","sikharulidze","ივანე სიხარულიძის ქუჩა","unique-contained-name","1"
"Simon Kldiashvili st.","simon kldiashvili","","unmatched","0"
"sioni st.","sioni","სიონის ქუჩა","exact","1"
"skhirtladze st.","skhirtladze","","ambiguous","3"
"skhulukhia st.","skhulukhia","","ambiguous","2"
"sobchak st.","sobchak","","unmatched","0"
"soganlugi turn","soganlugi turn","","unmatched","0"
"Sokhumi st.","sokhumi","სოხუმის ქუჩა","exact","1"
"sololakis alley","sololakis alley","","unmatched","0"
"Solomon Brdzeni St.","solomon brdzeni","","unmatched","0"
"somkheti st.","somkheti","სომხეთის ქუჩა","exact","1"
"spandariani st.","spandariani","","unmatched","0"
"Spartaki st.","spartaki","სპარტაკის ქუჩა","exact","1"
"Spiridon Virsaladze St.","spiridon virsaladze","სპირიდონ ვირსალაძის ქუჩა","exact","1"
"st. nikolozi st.","nikolozi","წმინდა ნიკოლოზის ქუჩა","unique-contained-name","1"
"st. Phermcerta","phermcerta","","unmatched","0"
"stanislavski st.","stanislavski","კონსტანტინე სტანისლავსკის ქუჩა","unique-contained-name","1"
"sturua st.","sturua","","ambiguous","3"
"Sukhishvili st.","sukhishvili","","ambiguous","3"
"suliashvili st.","suliashvili","დავით სულიაშვილის ქუჩა","unique-contained-name","1"
"Suliko Jgenti st.","suliko jgenti","","unmatched","0"
"Suliko Tortladze St.","suliko tortladze","სულიკო თორთლაძის ქუჩა","exact","1"
"sulkanishvili st.","sulkanishvili","","unmatched","0"
"sulkhan-saba st.","sulkhan saba","","ambiguous","3"
"Sultnishani st.","sultnishani","","unmatched","0"
"sumbatashvil-iujni st.","sumbatashvil iujni","","unmatched","0"
"sumorov st.","sumorov","","unmatched","0"
"sundukian st.","sundukian","","unmatched","0"
"surami st.","surami","სურამის ქუჩა","exact","1"
"svaneti st.","svaneti","სვანეთის ქუჩა","exact","1"
"Svanidze st.","svanidze","სვანიძის ქუჩა","exact","1"
"Svanishvili st.","svanishvili","ნიკოლოზ სვანიშვილის ქუჩა","unique-contained-name","1"
"Sveticxoveli st.","sveticxoveli","","unmatched","0"
"sviri st.","sviri","სვირის ქუჩა","exact","1"
"Sxvitori st.","sxvitori","","unmatched","0"
"T. Botchorishvili st.","t botchorishvili","","unmatched","0"
"t. buachidze","t buachidze","","unmatched","0"
"t. eristavi st. (Didube)","t eristavi didube","","unmatched","0"
"T. Gudava st.","t gudava","","unmatched","0"
"t. nadareishvili st.","t nadareishvili","","unmatched","0"
"T. Putkaradze St.","t putkaradze","","unmatched","0"
"t. tabidze st.","t tabidze","","unmatched","0"
"t.eristavi st. (Sanzona)","t eristavi sanzona","","unmatched","0"
"T.Fifia st.","t fifia","","unmatched","0"
"T.Jordania st.","t jordania","ჟორდანიას ქუჩა","unique-contained-name","1"
"tabakhmela st.","tabakhmela","ტაბახმელას ქუჩა","exact","1"
"tabukashvili st.","tabukashvili","","ambiguous","2"
"Tadzari st.","tadzari","","ambiguous","2"
"Taktakishvili St","taktakishvili","ოთარ თაქთაქიშვილის ქუჩა","unique-contained-name","1"
"tamar mepe ave","tamar mepe","","ambiguous","7"
"Tamar mephe st.","tamar mephe","თამარის ქუჩა","unique-contained-name","1"
"Tamarasheni st.","tamarasheni","თამარაშენის ქუჩა","exact","1"
"Tamarashvili st. (Saburtalo)","tamarashvili saburtalo","","unmatched","0"
"tamarashvili st. (vake)","tamarashvili vake","","unmatched","0"
"tandzia st","tandzia","ტანძიის ქუჩა","exact","1"
"tarieli st.","tarieli","ტარიელის ქუჩა","exact","1"
"tarkhnishvili st.","tarkhnishvili","თარხნიშვილის ქუჩა","exact","1"
"Tashiri St.","tashiri","ტაშირის ქუჩა","exact","1"
"tashkenti st.","tashkenti","","unmatched","0"
"tatishvili st.","tatishvili","","ambiguous","3"
"tavadze st.","tavadze","","ambiguous","3"
"Tavgorashvili St.","tavgorashvili","კახაბერ თავგორაშვილის ქუჩა","unique-contained-name","1"
"Tavisufloebis st.","tavisufloebis","","unmatched","0"
"Tavkhelidze st.","tavkhelidze","","ambiguous","2"
"Tba st.","tba","ტბას ქუჩა","exact","1"
"Tbilisi sea","tbilisi sea","","unmatched","0"
"Tbilisi Sea new city","tbilisi sea new city","","unmatched","0"
"Tbilisi st.","tbilisi","","ambiguous","4"
"Teimuraz Bochorishvili's I dead end","teimuraz bochorishvili i dead end","თეიმურაზ ბოჭორიშვილის ქუჩა","unique-contained-name","1"
"Teimuraz Bochorishvili's II Dead End","teimuraz bochorishvili ii dead end","თეიმურაზ ბოჭორიშვილის ქუჩა","unique-contained-name","1"
"Teimurazi st.","teimurazi","","unmatched","0"
"tekhura st.tkvarcheli st.","tekhura tkvarcheli","","ambiguous","2"
"Tekla Batonishvili st.","tekla batonishvili","თეკლა ბატონიშვილის ქუჩა","exact","1"
"Teklati st.","teklati","თეკლათის ქუჩა","exact","1"
"Telavi st.","telavi","","ambiguous","3"
"telegrapi st.","telegrapi","","unmatched","0"
"teleti st.","teleti","თელეთის ქუჩა","exact","1"
"Tengiz Akhmeteli St.","tengiz akhmeteli","თენგიზ ახმეტელის ქუჩა","exact","1"
"Teodore Tironi st.","teodore tironi","","unmatched","0"
"Teophane Davitaia st.","teophane davitaia","","unmatched","0"
"terenti graneli st.","terenti graneli","","ambiguous","2"
"Tereverko st.","tereverko","გიორგი ტერევერკოს ქუჩა","unique-contained-name","1"
"tergi st.","tergi","თერგის ქუჩა","exact","1"
"tetelashvili st.","tetelashvili","გია ტეტელაშვილის ქუჩა","unique-contained-name","1"
"tetnuldi st.","tetnuldi","თეთნულდის ქუჩა","exact","1"
"Tetri Giorgi st.","tetri giorgi","თეთრი გიორგის ქუჩა","exact","1"
"Tetri Khevi st.","tetri khevi","თეთრი ხევის ქუჩა","exact","1"
"Tetritskaro st.","tetritskaro","","unmatched","0"
"tevdore mgvdeli st.","tevdore mgvdeli","თევდორე მღვდელის ქუჩა","exact","1"
"The second lane of Krtsanis","the second of krtsanis","","unmatched","0"
"The third alley of Erekle II","the third alley of erekle ii","","unmatched","0"
"tianeti hwy","tianeti","","ambiguous","2"
"tianeti st.","tianeti","","ambiguous","2"
"tibaani st.","tibaani","ტიბაანის ქუჩა","exact","1"
"tikhonov st.","tikhonov","","unmatched","0"
"Tinatin Virsaladze St.","tinatin virsaladze","თინათინ ვირსალაძის ქუჩა","exact","1"
"Tinatini st.","tinatini","თინათინის ქუჩა","exact","1"
"Tirifebi st.","tirifebi","","unmatched","0"
"Tirifoni st.","tirifoni","","unmatched","0"
"Tkeshelashvili st.","tkeshelashvili","","unmatched","0"
"Tkhinvala","tkhinvala","თხინვალას ქუჩა","exact","1"
"tkibuli st.","tkibuli","ტყიბულის ქუჩა","exact","1"
"tkviavi st.","tkviavi","ტყვიავის ქუჩა","exact","1"
"tmogvi","tmogvi","თმოგვის ქუჩა","exact","1"
"toidze st.","toidze","თოიძის ქუჩა","exact","1"
"tolenji st.","tolenji","თოლენჯის ქუჩა","exact","1"
"tolstoi st.","tolstoi","ლევ ტოლსტოის ქუჩა","unique-contained-name","1"
"tordia st.","tordia","","unmatched","0"
"toroshelidze st.","toroshelidze","","ambiguous","2"
"tovstonogov st.","tovstonogov","გიორგი ტოვსტონოგოვის ქუჩა","unique-contained-name","1"
"traktori st.","traktori","","unmatched","0"
"transporti st.","transporti","","unmatched","0"
"trialeti st.","trialeti","თრიალეთის ქუჩა","exact","1"
"trikotaji st.","trikotaji","","unmatched","0"
"Ts. Amirejibi st.","ts amirejibi","","unmatched","0"
"Ts. Dadiani st. (chugureti)","ts dadiani chugureti","","unmatched","0"
"Ts. Dadiani st. (nadzaladevi)","ts dadiani nadzaladevi","","unmatched","0"
"Tsagareli St.","tsagareli","ცაგარელის ქუჩა","exact","1"
"tsagveri st.","tsagveri","წაღვერი-ტიმოთესუბანი-ტაძარი","unique-contained-name","1"
"Tsakhvebi st.","tsakhvebi","","unmatched","0"
"tsalka st.","tsalka","წალკას ქუჩა","exact","1"
"Tsameti asureli mama st.","tsameti asureli mama","","unmatched","0"
"Tsarafi St.","tsarafi","","unmatched","0"
"Tsatsxvebi Lane IX","tsatsxvebi ix","","unmatched","0"
"tseronisi st.","tseronisi","წერონისის ქუჩა","exact","1"
"tsiklauri st.","tsiklauri","","ambiguous","2"
"tsinanauri st.","tsinanauri","წინანაურის ქუჩა","exact","1"
"tsinandali st.","tsinandali","","ambiguous","3"
"tsinaubani st.","tsinaubani","წინაუბნის ქუჩა","exact","1"
"Tsiskarishvili st.","tsiskarishvili","","ambiguous","2"
"tsitsamuri st.","tsitsamuri","წიწამურის ქუჩა","exact","1"
"tskalsadeni st.","tskalsadeni","","unmatched","0"
"tskaltubo st.","tskaltubo","წყალტუბოს ქუჩა","exact","1"
"tskaro st.","tskaro","წყაროს ქუჩა","exact","1"
"tskneti hwy","tskneti","","unmatched","0"
"Tskneti Hwy I Line","tskneti i line","","unmatched","0"
"Tsolikauri st.","tsolikauri","ცოლიკაურის ქუჩა","exact","1"
"tsromi st.","tsromi","წრომის ქუჩა","exact","1"
"tsuladze st.","tsuladze","აპოლონ წულაძის ქუჩა","exact","1"
"tsulukidze st.","tsulukidze","წულუკიძის ქუჩა","exact","1"
"tsurtsumia st.","tsurtsumia","წურწუმიას ქუჩა","exact","1"
"Tsutsqiridze st.","tsutsqiridze","","unmatched","0"
"tsutsunava st.","tsutsunava","","ambiguous","2"
"tumaniani st.","tumaniani","თუმანიანის ქუჩა","exact","1"
"Tumanishvili st.","tumanishvili","თუმანიშვილის ქუჩა","exact","1"
"Turashauli st.","turashauli","თურაშაულის ქუჩა","exact","1"
"turgenev st.","turgenev","","unmatched","0"
"Turtle lake","turtle lake","","unmatched","0"
"tuskia st.","tuskia","იონა ტუსკიას ქუჩა","unique-contained-name","1"
"tvalchrelidze st.","tvalchrelidze","","ambiguous","3"
"tvishi st.","tvishi","ტვიშის ქუჩა","exact","1"
"u. chkheidze st.","u chkheidze","ჩხეიძის ქუჩა","unique-contained-name","1"
"ubilava st.","ubilava","ელიზბარ და ვლადიმერ უბილავების ქუჩა","unique-contained-name","1"
"uchaneishvili I turn","uchaneishvili i turn","","unmatched","0"
"uchaneishvili II turn","uchaneishvili ii turn","","unmatched","0"
"Uchaneishvili III Lane","uchaneishvili iii","","unmatched","0"
"uchaneishvili st.","uchaneishvili","ირაკლი უჩანეიშვილის ქუჩა","unique-contained-name","1"
"Udabno masteri lane I","udabno masteri i","","unmatched","0"
"Udzo st.","udzo","უძოს ქუჩა","exact","1"
"Ugrelidze st.","ugrelidze","მარიამ უგრელიძის ქუჩა","unique-contained-name","1"
"uiarago st.","uiarago","","unmatched","0"
"ujarma st.","ujarma","უჯარმას ქუჩა","exact","1"
"umikashvili st.","umikashvili","პეტრე უმიკაშვილის ქუჩა","unique-contained-name","1"
"universiteti st.","universiteti","უნივერსიტეტის ქუჩა","exact","1"
"upliscikhe st.","upliscikhe","","unmatched","0"
"urbnisi st.","urbnisi","ურბნისის ქუჩა","exact","1"
"ureki st.","ureki","ურეკის ქუჩა","exact","1"
"uricki st.","uricki","","unmatched","0"
"uridia st.","uridia","ურიდიას ქუჩა","exact","1"
"Usakhelauri st.","usakhelauri","","unmatched","0"
"ushakov st.","ushakov","","unmatched","0"
"Utseri st.","utseri","","unmatched","0"
"Utsnob gmirta st.","utsnob gmirta","უცნობ გმირთა ქუჩა","exact","1"
"uznadze st.","uznadze","დიმიტრი უზნაძის ქუჩა","unique-contained-name","1"
"V Microdistrict - Gldani","v microdistrict gldani","გლდანის ქუჩა","unique-contained-name","1"
"v. abashidze st.","v abashidze","აბაშიძის ქუჩა","unique-contained-name","1"
"v. chikovani st.","v chikovani","ჩიქოვანის ქუჩა","unique-contained-name","1"
"V. Kikvidze st.","v kikvidze","კიკვიძის ქუჩა","unique-contained-name","1"
"V. Nozadze st.","v nozadze","","unmatched","0"
"v. sarajishvili st.","v sarajishvili","სარაჯიშვილის ქუჩა","unique-contained-name","1"
"V. Tabliashvili St.","v tabliashvili","","unmatched","0"
"V. Topuridze st.","v topuridze","","unmatched","0"
"v. vekua st.","v vekua","ვეკუას ქეჩა","unique-contained-name","1"
"v.bagrationi st.","v bagrationi","","unmatched","0"
"V.Chiladze st.","v chiladze","","unmatched","0"
"v.kakabadze st.","v kakabadze","კაკაბაძის ქუჩა","unique-contained-name","1"
"V.Orbeliani st.","v orbeliani","ორბელიანის ქუჩა","unique-contained-name","1"
"V.Tsintsadze st.","v tsintsadze","ცინცაძის ქუჩა","unique-contained-name","1"
"vachnadze st.","vachnadze","","ambiguous","2"
"Vagzali st.","vagzali","ვაგზალის ქუჩა","exact","1"
"Vaja Iverieli st.","vaja iverieli","","unmatched","0"
"vaja pshavela I chikhi","vaja pshavela i chikhi","ვაჟა-ფშაველას ქუჩა","unique-contained-name","1"
"vaja pshavela III turn,","vaja pshavela iii turn","ვაჟა-ფშაველას ქუჩა","unique-contained-name","1"
"vaja-pshavela avenue","vaja pshavela","ვაჟა-ფშაველას ქუჩა","exact","1"
"Vaja-Pshavela st.","vaja pshavela","ვაჟა-ფშაველას ქუჩა","exact","1"
"Vakhtan Gorgasali St.","vakhtan gorgasali","","unmatched","0"
"Vakhtang Beridze St","vakhtang beridze","ვახტანგ ბერიძის ქუჩა","exact","1"
"vakhtanq VI st.","vakhtanq vi","","unmatched","0"
"Vakhushti Batonishvili st.","vakhushti batonishvili","ვახუშტი ბატონიშვილის ქუჩა","exact","1"
"vani st.","vani","ვანის ქუჩა","exact","1"
"Vanler Daisel st.","vanler daisel","","unmatched","0"
"Vano Khornauli st.","vano khornauli","","unmatched","0"
"varaziskhevi st.","varaziskhevi","ვარაზისხევის ქუჩა","exact","1"
"varcikhe st.","varcikhe","","unmatched","0"
"Varden Tsulukidze st.","varden tsulukidze","წულუკიძის ქუჩა","unique-contained-name","1"
"Vardevani st.","vardevani","ვარდევანის ქუჩა","exact","1"
"vardisubani st.","vardisubani","ვარდისუბნის ქუჩა","exact","1"
"Varketilis meurneoba","varketilis meurneoba","","unmatched","0"
"vartagava st.","vartagava","იპოლიტე ვართაგავას ქუჩა","unique-contained-name","1"
"vasadze st.","vasadze","აკაკი ვასაძის ქუჩა","unique-contained-name","1"
"vashlovani st.","vashlovani","ვაშლოვანის ქუჩა","exact","1"
"Vasil Koptsov St.","vasil koptsov","","unmatched","0"
"Vasil Tamarashvili st.","vasil tamarashvili","ვასილ თამარაშვილის ქუჩა","exact","1"
"Vazi st.","vazi","ვაზის ქუჩა","exact","1"
"vaziani st.","vaziani","ვაზიანის ქუჩა","exact","1"
"Vazisubnis dasaxleba","vazisubnis dasaxleba","","unmatched","0"
"vedzatkhevi st.","vedzatkhevi","","ambiguous","2"
"Vedzinis st.","vedzinis","","unmatched","0"
"Veistsikhe st.","veistsikhe","","unmatched","0"
"vejini st.","vejini","","unmatched","0"
"Vepkhistkaosnis st.","vepkhistkaosnis","","unmatched","0"
"vera turn","vera turn","","unmatched","0"
"verckhli st.","verckhli","","unmatched","0"
"verharni st.","verharni","","unmatched","0"
"veshapuri st.","veshapuri","","unmatched","0"
"Vezirovi st.","vezirovi","","unmatched","0"
"VI Microdistrict - Gldani","vi microdistrict gldani","გლდანის ქუჩა","unique-contained-name","1"
"Victor Jorbenadze st.","victor jorbenadze","ვიქტორ ჯორბენაძის ქუჩა","exact","1"
"VII Microdistrict - Gldani","vii microdistrict gldani","გლდანის ქუჩა","unique-contained-name","1"
"VIII Microdistrict - Gldani","viii microdistrict gldani","გლდანის ქუჩა","unique-contained-name","1"
"vik. naneishvili st.","vik naneishvili","ნანეიშვილის ქუჩა","unique-contained-name","1"
"virsaladze st.","virsaladze","","ambiguous","4"
"Vitali Daraselia st.","vitali daraselia","ვიტალი დარასელიას ქუჩა","exact","1"
"voronin st.","voronin","ვლადიმერ ვორონინის ქუჩა","unique-contained-name","1"
"wine aRmarTi","wine armarti","","unmatched","0"
"Yalno st.","yalno","","unmatched","0"
"Yotam Zedgenidze St.","yotam zedgenidze","","unmatched","0"
"Z. Anjafaridze I lane","z anjafaridze i","","unmatched","0"
"Z. Anjafaridze st.","z anjafaridze","","unmatched","0"
"z. anjaparidze st.","z anjaparidze","ანჯაფარიძის ჷუჩა","unique-contained-name","1"
"z. bendeliani st.","z bendeliani","ბენდელიანის ქუჩა","unique-contained-name","1"
"z. bocvadze st.","z bocvadze","","unmatched","0"
"z. chavchavadze st.","z chavchavadze","","unmatched","0"
"z. chichinadze st.","z chichinadze","ჭიჭინაძის ქუჩა","unique-contained-name","1"
"Z. Gamsakhurdia st.","z gamsakhurdia","","unmatched","0"
"z. kikodze st.","z kikodze","ქიქოძის ქუჩა","unique-contained-name","1"
"Z. Kurdiani St.","z kurdiani","","unmatched","0"
"Z. larajuli St.","z larajuli","","unmatched","0"
"Z. Mkhargdzeli st.","z mkhargdzeli","","unmatched","0"
"zaarbruken square","zaarbruken","","unmatched","0"
"zaarbruken st.","zaarbruken","","unmatched","0"
"Zakaria Djordjaze st.","zakaria djordjaze","","unmatched","0"
"zakaria st.","zakaria","","ambiguous","23"
"zakariadze st.","zakariadze","სერგო ზაქარიაძის ქუჩა","exact","1"
"zakharovi st.","zakharovi","გლახო ზახაროვის ქუჩა","unique-contained-name","1"
"Zaldastanishvili st","zaldastanishvili","","ambiguous","2"
"zaldastanishvili st.","zaldastanishvili","","ambiguous","2"
"zandukeli st.","zandukeli","","unmatched","0"
"zarzma st.","zarzma","","unmatched","0"
"zedamze st.","zedamze","","unmatched","0"
"zedaubani","zedaubani","ზედაუბანის ქუჩა","exact","1"
"zedazeni st.","zedazeni","ზედაზენის ქუჩა","exact","1"
"Zedgenidze st.","zedgenidze","","ambiguous","3"
"zeinkali st.","zeinkali","","unmatched","0"
"zekari st.","zekari","ზეკარის ქუჩა","exact","1"
"zemo vake st.","zemo vake","","unmatched","0"
"Zemo Vedzisi blind alley I","zemo vedzisi blind alley i","ზემო ვეძისის ქუჩა","unique-contained-name","1"
"Zemo Vedzisi blind alley II","zemo vedzisi blind alley ii","ზემო ვეძისის ქუჩა","unique-contained-name","1"
"Zemo Vedzisi st.","zemo vedzisi","ზემო ვეძისის ქუჩა","exact","1"
"zestaponi st.","zestaponi","","ambiguous","2"
"ziari","ziari","ზიარის ქუჩა","exact","1"
"Zichi st.","zichi","","unmatched","0"
"zigzagi st.","zigzagi","","ambiguous","3"
"zindisi st.","zindisi","ზინდისის ქუჩა","exact","1"
"Zovreti st.","zovreti","ზოვრეთის ქუჩა","exact","1"
"zubalashvilebi st.","zubalashvilebi","ძმები ზუბალაშვილების ქუჩა","unique-contained-name","1"
"zugdidi st.","zugdidi","ზუგდიდის ქუჩა","exact","1"
"Zukhbaya st.","zukhbaya","","unmatched","0"
"Zura Sakandelidze st.","zura sakandelidze","","unmatched","0"
"Zurab Chachua st.","zurab chachua","ზურაბ ჩაჩუას ქუჩა","exact","1"
"zurab zhvania square","zurab zhvania","","ambiguous","3"
"zurab zvania st.","zurab zvania","","unmatched","0"
"zurabishvili st.","zurabishvili","","ambiguous","2"
"Zurgovana","zurgovana","","unmatched","0"
"zvareti st.","zvareti","ზვარეთის ქუჩა","exact","1"
"zviad gamsakhurdia st.","zviad gamsakhurdia","","ambiguous","2"
